key,model,paper,accuracy,f1,roc_auc,pr_auc_holdout15,edited_photo_caught,fake_text_caught,coordinated_caught,false_alarms,ours_better_on,it_better_on,mcnemar_p_vs_ours,seconds,simplification
P02,Shan inconsistency + RF,02 Shan 2021,0.7913580246913581,0.7623066104078763,0.8521079103795153,0.765572917635326,0.2,0.8074074074074075,1.0,0.0864197530864197,140,12,7.78101228194531e-29,267,sentiment from DistilBERT-SST2; 9 inconsistency features + 8 base text features
P15,A-LSTM + behaviour,15 Xu 2024,0.7777777777777778,0.7662337662337663,0.8446700198140529,0.7728540362121473,0.1851851851851851,1.0,1.0,0.1728395061728395,158,19,1.8404446754230994e-28,145,word embeddings trained from scratch
P39,DHMFRD-TER (text + emotion + rating),39 Duma 2024,0.782716049382716,0.7678100263852242,0.8292089620484682,0.743742715214363,0.1555555555555555,1.0,1.0,0.1530864197530864,155,20,4.61751549651932e-27,184,emotion from a pretrained English emotion classifier (7 emotions)
P38,FRD-LSTM (DCWR + BiLSTM),38 Qayyum 2023,0.817283950617284,0.7867435158501441,0.8476543209876544,0.7642932798992589,0.0222222222222222,1.0,1.0,0.0395061728395061,121,14,1.9751293229358004e-22,330,DCWR approximated by frozen DistilBERT contextual token vectors
P40,DeBERTa-v3 fine-tuned,40 Geetha 2025,0.8222222222222222,0.7954545454545454,0.8528943758573388,0.7755070321839113,0.074074074074074,1.0,1.0,0.0469135802469135,119,16,1.2201752091266551e-20,4663,deberta-v3-small; Monarch-Butterfly hyper-parameter search omitted
P11,"FRIDRC (text enc. + ViT, fused)",11 Hou 2025,0.8320987654320988,0.7988165680473372,0.8386282578875172,0.7665282894624567,0.0,1.0,1.0,0.0024691358024691,109,14,2.0761409799356805e-19,1518,"image encoder = CLIP ViT-B/32, frozen (CPU); text encoder DistilRoBERTa fine-tuned; profile info not available"
P30,BSTC (BERT + TextCNN),30 Lu 2023,0.8345679012345679,0.8017751479289941,0.846639231824417,0.7709696076487613,0.007407407407407408,1.0,1.0,0.0,107,14,6.531981443073301e-19,2391,SKEP sentiment-knowledge branch omitted (not available in English/PyTorch)
