variant,channels,width,roc_auc_test,ap_test,roc_seed1,roc_seed2,roc_copy_move,roc_splice,roc_noise,caught_at_5pct_fa,seconds
"3 ch: ELA, ELA-std, noise (current)",3,1,0.9441852931648852,0.8417713370206915,0.9501781665046972,0.9055393586005832,0.8857064061145694,0.9713119533527698,0.96100583090379,0.7037037037037037,1609
6 ch: all (+ copy-move votes),6,1,0.9366915019976244,0.8241984867315988,0.9189828312277292,0.9403952057013281,0.858364195098889,0.9567638483965015,0.9761601068999028,0.7037037037037037,1787
