key,model,paper,accuracy,f1,roc_auc,pr_auc_holdout15,edited_photo_caught,fake_text_caught,coordinated_caught,false_alarms,ours_better_on,it_better_on,mcnemar_p_vs_ours,seconds,simplification
P02,Shan inconsistency + RF,02 Shan 2021,0.7666666666666667,0.7248908296943232,0.8017985063252552,0.6993187489426433,0.0518518518518518,0.7925925925925926,1.0,0.0814814814814814,140,11,1.2192257795214979e-29,210,sentiment from DistilBERT-SST2; 9 inconsistency features + 8 base text features
P15,A-LSTM + behaviour,15 Xu 2024,0.7493827160493827,0.7471980074719801,0.831793933851547,0.7586720559134477,0.2222222222222222,1.0,1.0,0.2419753086419753,180,37,9.366315068738952e-24,121,word embeddings trained from scratch
P39,DHMFRD-TER (text + emotion + rating),39 Duma 2024,0.782716049382716,0.7678100263852242,0.8292089620484682,0.743742715214363,0.1555555555555555,1.0,1.0,0.1530864197530864,154,38,9.241672580199124e-18,171,emotion from a pretrained English emotion classifier (7 emotions)
P38,FRD-LSTM (DCWR + BiLSTM),38 Qayyum 2023,0.817283950617284,0.7867435158501441,0.8476543209876544,0.7642932798992589,0.0222222222222222,1.0,1.0,0.0395061728395061,119,31,2.343958045899741e-13,239,DCWR approximated by frozen DistilBERT contextual token vectors
P40,DeBERTa-v3 fine-tuned,40 Geetha 2025,0.8222222222222222,0.7954545454545454,0.8528943758573388,0.7755070321839113,0.074074074074074,1.0,1.0,0.0469135802469135,118,34,4.623806648239508e-12,3423,deberta-v3-small; Monarch-Butterfly hyper-parameter search omitted
P11,"FRIDRC (text enc. + ViT, fused)",11 Hou 2025,0.8320987654320988,0.7988165680473372,0.8386282578875172,0.7665282894624567,0.0,1.0,1.0,0.0024691358024691,108,32,7.793986201015429e-11,1505,"image encoder = CLIP ViT-B/32, frozen (CPU); text encoder DistilRoBERTa fine-tuned; profile info not available"
P30,BSTC (BERT + TextCNN),30 Lu 2023,0.8345679012345679,0.8017751479289941,0.846639231824417,0.7709696076487613,0.007407407407407408,1.0,1.0,0.0,106,32,1.865139043673374e-10,1824,SKEP sentiment-knowledge branch omitted (not available in English/PyTorch)
