key,model,paper,accuracy,f1,roc_auc,pr_auc_holdout15,edited_photo_caught,fake_text_caught,coordinated_caught,false_alarms,ours_better_on,it_better_on,mcnemar_p_vs_ours,seconds,simplification
P15,A-LSTM + behaviour,15 Xu 2024,0.8160493827160494,0.7939142461964038,0.8406218564243255,0.7532416869504042,0.1259259259259259,1.0,1.0,0.0765432098765432,125,22,1.1060401522713592e-18,48,word embeddings trained from scratch
P02,Shan inconsistency + RF,02 Shan 2021,0.7864197530864198,0.7525035765379113,0.8130345983843927,0.7496914868175897,0.037037037037037,0.9111111111111112,1.0,0.0765432098765432,148,21,1.0155320657245023e-24,247,sentiment from DistilBERT-SST2; 9 inconsistency features + 8 base text features
P39,DHMFRD-TER (text + emotion + rating),39 Duma 2024,0.7876543209876543,0.7724867724867724,0.8251882335009907,0.7725985985621584,0.1629629629629629,1.0,1.0,0.145679012345679,149,23,8.540343629783613e-24,252,emotion from a pretrained English emotion classifier (7 emotions)
P38,FRD-LSTM (DCWR + BiLSTM),38 Qayyum 2023,0.8296296296296296,0.7970588235294118,0.8389422344154854,0.769385639591245,0.0074074074074074,1.0,1.0,0.0098765432098765,113,21,1.9626845888813072e-16,331,DCWR approximated by frozen DistilBERT contextual token vectors
P40,DeBERTa-v3 fine-tuned,40 Geetha 2025,0.8271604938271605,0.7965116279069767,0.8414144185337602,0.7713556348981572,0.0296296296296296,1.0,1.0,0.0222222222222222,116,22,1.2786465900402674e-16,4791,deberta-v3-small; Monarch-Butterfly hyper-parameter search omitted
P11,"FRIDRC (text enc. + ViT, fused)",11 Hou 2025,0.8333333333333334,0.8,0.8457796067672612,0.7816214145485669,0.0,1.0,1.0,0.0,111,22,1.7102147522338878e-15,1247,"image encoder = CLIP ViT-B/32, frozen (CPU); text encoder DistilRoBERTa fine-tuned; profile info not available"
P30,BSTC (BERT + TextCNN),30 Lu 2023,0.8333333333333334,0.8,0.834131992074379,0.7548228421181203,0.0,1.0,1.0,0.0,111,22,1.7102147522338878e-15,1922,SKEP sentiment-knowledge branch omitted (not available in English/PyTorch)
