config,n_folds,PR-AUC,PR-AUC_mean,ROC-AUC,ROC-AUC_mean,F1,F1_mean,Precision,Precision_mean,Recall,Recall_mean
text-only,25,0.719 +/-0.023,0.7191165619903497,0.810 +/-0.019,0.8098952764050186,0.639 +/-0.023,0.6394737743610132,0.652 +/-0.024,0.6518073863806734,0.630 +/-0.028,0.6301659052489853
image-forensic-only,25,0.658 +/-0.017,0.6579126681900946,0.814 +/-0.010,0.8138390066850434,0.551 +/-0.014,0.5510864301585875,0.511 +/-0.020,0.5109447163923332,0.606 +/-0.023,0.6059106854190309
behaviour-only,25,0.317 +/-0.017,0.3170249894158128,0.635 +/-0.014,0.6351963096065018,0.310 +/-0.012,0.30997877705310006,0.210 +/-0.009,0.20972336447151949,0.595 +/-0.021,0.5952620862885288
graph-only,25,0.279 +/-0.021,0.27886964017097554,0.612 +/-0.019,0.6118292516213379,0.290 +/-0.013,0.2897665225608519,0.192 +/-0.008,0.19229179456538176,0.589 +/-0.027,0.5887485127579755
base-paper-equivalent,25,0.729 +/-0.025,0.7292984397872426,0.817 +/-0.016,0.8165896257889456,0.654 +/-0.027,0.6543240168218127,0.675 +/-0.029,0.6748099862685851,0.638 +/-0.031,0.6382269658874745
FUSION (ours),25,0.863 +/-0.013,0.863172615587152,0.933 +/-0.007,0.9327866638690584,0.763 +/-0.014,0.7633592999764438,0.746 +/-0.023,0.7462932432519183,0.787 +/-0.021,0.7867438163103767
