,visual_manipulation,text_deception,coordinated_reuse
text-only,0.076,0.814,1.0
image-forensic-only,0.717,0.139,1.0
behaviour-only,0.406,0.585,0.799
graph-only,0.436,0.489,0.854
base-paper-equivalent,0.06,0.855,1.0
FUSION (ours),0.627,0.748,1.0
