config,n_folds,PR-AUC,PR-AUC_mean,ROC-AUC,ROC-AUC_mean,F1,F1_mean,Precision,Precision_mean,Recall,Recall_mean
text-only,25,0.758 +/-0.020,0.758442298559249,0.827 +/-0.015,0.8273268678959299,0.628 +/-0.016,0.6278545643291845,0.580 +/-0.017,0.5795032324330401,0.689 +/-0.026,0.6891067895231751
image-forensic-only,25,0.655 +/-0.017,0.6548225592678236,0.814 +/-0.011,0.8135746602709208,0.531 +/-0.015,0.5305073778547839,0.479 +/-0.019,0.4790075985595045,0.602 +/-0.023,0.6017440280334067
behaviour-only,25,0.317 +/-0.017,0.3170249894158128,0.635 +/-0.014,0.6351963096065018,0.310 +/-0.012,0.30997877705310006,0.210 +/-0.009,0.20972336447151949,0.595 +/-0.021,0.5952620862885288
graph-only,25,0.274 +/-0.020,0.2740857291663596,0.612 +/-0.016,0.6115513557588443,0.288 +/-0.010,0.28797307758275237,0.191 +/-0.007,0.1914004983413753,0.583 +/-0.022,0.5825851649464561
base-paper-equivalent,25,0.758 +/-0.020,0.7581025762349227,0.827 +/-0.015,0.8268294055768091,0.728 +/-0.021,0.7280036703736618,0.808 +/-0.025,0.8077880613559657,0.667 +/-0.028,0.666570702440919
FUSION (ours),25,0.902 +/-0.012,0.9020686639904278,0.954 +/-0.007,0.9538947166251279,0.792 +/-0.016,0.7923703086213062,0.750 +/-0.025,0.7503454064483828,0.844 +/-0.020,0.8444063528771434
