review_id,ela_mean,ela_p99,ela_block_std,ela_block_cv,ela_block_max_ratio,ela_block_skew,ela_hot_block_frac,noise_mean_var,noise_var_cv,noise_max_ratio,noise_hot_frac,cm_pairs,cm_best_sim
R02942,0.3255666196346283,2.3333332538604736,0.3615958094596863,1.0990127325057983,5.534527778625488,1.3149676322937012,0.05654761904761905,6.877840995788574,2.733696460723877,26.367389678955078,0.050595238095238096,14.0,0.9949617981910706
R02943,0.4364539682865143,2.0,0.22485560178756714,0.5136036276817322,2.9473843574523926,1.1962883472442627,0.046130952380952384,8.826082229614258,2.198174476623535,17.08695411682129,0.05803571428571429,0.0,0.0
R02944,0.6680307984352112,3.3333332538604736,0.4533369541168213,0.6811292767524719,3.350743293762207,1.0042994022369385,0.050595238095238096,32.92918395996094,2.0582494735717773,13.040251731872559,0.05505952380952381,0.0,0.0
R02945,0.5847364068031311,2.0,0.2820371091365814,0.4846806824207306,2.521249532699585,-0.4146777391433716,0.005952380952380952,9.868550300598145,1.303818941116333,9.828667640686035,0.049107142857142856,0.0,0.0
R02946,0.9967557787895203,5.0,0.4706055223941803,0.4721367657184601,2.2514424324035645,1.1939492225646973,0.10677083333333333,132.41831970214844,1.1501768827438354,5.956177234649658,0.049479166666666664,12.0,0.995577871799469
R02947,0.4109703004360199,3.0,0.37618207931518555,0.9090054035186768,4.356909275054932,1.3130766153335571,0.050595238095238096,34.51157760620117,2.143404006958008,15.785179138183594,0.05505952380952381,6.0,0.9928010702133179
R02948,0.5332135558128357,2.6666667461395264,0.2796148657798767,0.5253044962882996,3.4246621131896973,1.8252815008163452,0.050595238095238096,18.03786849975586,2.6409904956817627,20.1973876953125,0.041666666666666664,0.0,0.0
R02949,0.3583039343357086,2.0,0.2920282781124115,0.8174583911895752,3.519101619720459,1.2425775527954102,0.0744047619047619,9.727807998657227,2.309772253036499,11.071353912353516,0.07886904761904762,6.0,0.9823970198631287
R02950,0.36856162548065186,2.6666667461395264,0.3701285123825073,0.996346652507782,3.930936098098755,0.9083746671676636,0.046130952380952384,10.55614948272705,2.272977590560913,19.25966453552246,0.03720238095238095,0.0,0.0
R02951,0.069556325674057,1.0,0.11294882744550705,1.6238232851028442,10.99306583404541,2.42667555809021,0.0625,1.3401345014572144,6.793401718139648,122.46235656738281,0.010416666666666666,23.0,0.9989169836044312
