config,n_folds,PR-AUC,PR-AUC_mean,ROC-AUC,ROC-AUC_mean,F1,F1_mean,Precision,Precision_mean,Recall,Recall_mean
text-only,25,0.740 +/-0.017,0.7402779623415386,0.873 +/-0.010,0.8733345333033553,0.604 +/-0.022,0.6037016771873294,0.577 +/-0.032,0.5769413825035319,0.641 +/-0.022,0.6411912944350316
image-forensic-only,25,0.557 +/-0.020,0.5568927840773512,0.740 +/-0.015,0.74024139505052,0.440 +/-0.017,0.4396489089146147,0.382 +/-0.017,0.3822868925697538,0.521 +/-0.024,0.5210505153091696
behaviour-only,25,0.401 +/-0.021,0.4006492410065269,0.767 +/-0.011,0.7670686861454655,0.406 +/-0.011,0.40611968385728403,0.279 +/-0.008,0.27865562230463486,0.751 +/-0.019,0.750939269252742
graph-only,25,0.243 +/-0.017,0.24279282293830506,0.597 +/-0.018,0.5970497421941663,0.278 +/-0.013,0.2781038407513982,0.186 +/-0.009,0.18614025575508336,0.551 +/-0.027,0.5511970375152702
base-paper-equivalent,25,0.801 +/-0.014,0.8008897716738863,0.931 +/-0.006,0.9306651817705566,0.580 +/-0.014,0.5800290706787009,0.444 +/-0.013,0.4444242729280524,0.838 +/-0.019,0.8381895861709249
FUSION (ours),25,0.841 +/-0.012,0.8411489661013956,0.945 +/-0.005,0.9452176784074068,0.644 +/-0.013,0.6441511618322002,0.517 +/-0.015,0.5174182546714533,0.855 +/-0.011,0.8551091050291988
