config,n_folds,PR-AUC,PR-AUC_mean,ROC-AUC,ROC-AUC_mean,F1,F1_mean,Precision,Precision_mean,Recall,Recall_mean
text-only,25,0.719 +/-0.023,0.7191165619903497,0.810 +/-0.019,0.8098952764050186,0.639 +/-0.023,0.6394737743610132,0.652 +/-0.024,0.6518073863806734,0.630 +/-0.028,0.6301659052489853
image-forensic-only,25,0.571 +/-0.018,0.571178755851562,0.753 +/-0.012,0.7532526546880862,0.450 +/-0.016,0.4498604183124448,0.395 +/-0.017,0.3948945211354864,0.527 +/-0.023,0.5266990316907136
behaviour-only,25,0.317 +/-0.017,0.3170249894158128,0.635 +/-0.014,0.6351963096065018,0.310 +/-0.012,0.30997877705310006,0.210 +/-0.009,0.20972336447151949,0.595 +/-0.021,0.5952620862885288
graph-only,25,0.258 +/-0.018,0.25755969538872164,0.600 +/-0.018,0.6000558148833207,0.284 +/-0.013,0.28367478709212246,0.188 +/-0.009,0.1878651285598442,0.579 +/-0.027,0.5794206163625522
base-paper-equivalent,25,0.730 +/-0.024,0.7302055899707418,0.817 +/-0.016,0.8174578204017224,0.654 +/-0.028,0.6538547832372626,0.672 +/-0.031,0.6723105328209777,0.639 +/-0.030,0.6390220896493949
FUSION (ours),25,0.775 +/-0.019,0.7748515896265766,0.872 +/-0.014,0.8723868222644809,0.696 +/-0.020,0.696108920121865,0.736 +/-0.026,0.736004131828912,0.664 +/-0.024,0.6644039620421934
