config,n_folds,PR-AUC,PR-AUC_mean,ROC-AUC,ROC-AUC_mean,F1,F1_mean,Precision,Precision_mean,Recall,Recall_mean
text-only,25,0.740 +/-0.017,0.7402779623415386,0.873 +/-0.010,0.8733345333033553,0.604 +/-0.022,0.6037016771873294,0.577 +/-0.032,0.5769413825035319,0.641 +/-0.022,0.6411912944350316
image-forensic-only,25,0.505 +/-0.025,0.5045084046552717,0.703 +/-0.019,0.7028355573268346,0.390 +/-0.020,0.389510962644852,0.321 +/-0.018,0.3212493548172404,0.497 +/-0.027,0.49722933513469597
behaviour-only,25,0.401 +/-0.021,0.4006492410065269,0.767 +/-0.011,0.7670686861454655,0.406 +/-0.011,0.40611968385728403,0.279 +/-0.008,0.27865562230463486,0.751 +/-0.019,0.750939269252742
graph-only,25,0.245 +/-0.016,0.2447523073469494,0.591 +/-0.016,0.5910848706790035,0.277 +/-0.013,0.27719904210198903,0.185 +/-0.009,0.18526505815468913,0.551 +/-0.025,0.5512741969563032
base-paper-equivalent,25,0.802 +/-0.014,0.8017311300166411,0.931 +/-0.006,0.9310033385136066,0.575 +/-0.014,0.5748455655439784,0.438 +/-0.014,0.43782481637283494,0.839 +/-0.017,0.8394832555226585
FUSION (ours),25,0.821 +/-0.014,0.8205088129075228,0.938 +/-0.007,0.9380464174834467,0.618 +/-0.012,0.6182049869127806,0.484 +/-0.012,0.48412117033535734,0.858 +/-0.020,0.8577564172285059
