features,n_features,accuracy,precision,recall,f1,roc_auc,pr_auc_holdout15,flagged_visual_manipulation,flagged_text_deception,flagged_coordinated_reuse,flagged_genuine
TEXT only,8,0.779,0.892,0.635,0.742,0.796,0.692,0.074,0.83,1.0,0.077
IMAGE only,23,0.772,0.882,0.627,0.733,0.816,0.679,0.844,0.089,0.948,0.084
BEHAVIOUR only (rating/time),5,0.619,0.622,0.605,0.613,0.656,0.377,0.363,0.585,0.867,0.368
GRAPH only,4,0.573,0.572,0.578,0.575,0.607,0.253,0.378,0.459,0.896,0.432
TEXT + IMAGE,31,0.898,0.95,0.84,0.891,0.943,0.909,0.8,0.719,1.0,0.044
TEXT + BEHAVIOUR + GRAPH (no image),17,0.788,0.927,0.625,0.746,0.799,0.698,0.037,0.837,1.0,0.049
ALL (text+image+behaviour+graph),40,0.909,0.961,0.852,0.903,0.948,0.918,0.807,0.748,1.0,0.035
