set,rows,fake_pct,PR-AUC,ROC-AUC,F1,Precision,Recall,TN,FP,FN,TP
test_balanced (50% fake),810,50.0,0.952,0.946,0.852,0.85,0.854,344,61,59,346
holdout_realistic (~15% fake),474,14.6,0.843,0.95,0.61,0.483,0.826,344,61,12,57
